"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","names"
"hsa-miR-15b-5p",161.053359721912,1.34207627897391,0.338124819648524,3.96917410667748,7.21221718185464e-05,0.0201220859373745,"miR-15b-5p"
"hsa-miR-155-5p",432.679022423376,1.86639976830199,0.514939518000238,3.62450288443608,0.00028951778922907,0.0317695244696942,"miR-155-5p"
"hsa-miR-335-3p",297.625092026633,2.56327807333216,0.71595333611278,3.58023064359098,0.000343291058406113,0.0317695244696942,"miR-335-3p"
"hsa-miR-7974",75.6878086260814,2.01725930512805,0.580005340545404,3.47800125983518,0.000505167550606403,0.0317695244696942,"miR-7974"
"hsa-miR-345-5p",219.095470905145,1.27045826656053,0.437305487577976,2.90519625902019,0.00367022884542017,0.0930903498065662,"miR-345-5p"
"hsa-miR-25-5p",61.8246232626624,1.68195343222367,0.601146620744343,2.79790881988336,0.00514346301670949,0.102501870118711,"miR-25-5p"
"hsa-miR-363-3p",88.4613839390214,5.31214219981345,1.88889276584156,2.81230480410397,0.00491878678008979,0.102501870118711,"miR-363-3p"
"hsa-miR-100-3p",98.2597800953709,1.4611104803262,0.548236815557366,2.66510828690109,0.00769635357300215,0.126310743933388,"miR-100-3p"
"hsa-miR-9-5p",16.553430103501,3.42913931132999,1.2700287114594,2.70004865275017,0.0069329336584044,0.126310743933388,"miR-9-5p"
"hsa-miR-340-3p",15.4622226101593,2.26206571804008,0.863814381457549,2.61869420861366,0.00882670320032693,0.136813899605067,"miR-340-3p"
"hsa-miR-450a-5p",15.7465398242242,1.93315623890936,0.751742461977258,2.5715671745144,0.0101239372859385,0.148662026461939,"miR-450a-5p"
"hsa-miR-191-3p",29.5236832085032,1.29948368470793,0.565365205761121,2.29848542405171,0.0215341765394816,0.251248322242674,"miR-191-3p"
"hsa-miR-29b-1-5p",23.4624523325974,1.66341814788672,0.724136629440556,2.29710538075089,0.0216127589025956,0.251248322242674,"miR-29b-1-5p"
"hsa-miR-218-5p",54.6830778994245,1.08863579479748,0.487523098820712,2.23299326212608,0.0255493887011886,0.264010349912282,"miR-218-5p"
"hsa-miR-33b-3p",14.6898018333677,1.84214148982348,0.82226170002684,2.24033478607036,0.0250691965302794,0.264010349912282,"miR-33b-3p"
"hsa-miR-335-5p",157.847707698897,1.30504346475627,0.596717637579409,2.18703685389658,0.0287398337162508,0.281499701399685,"miR-335-5p"
"hsa-miR-362-5p",25.1621031924169,1.28451390905223,0.610299015695315,2.1047287903435,0.035314922865019,0.289790102333538,"miR-362-5p"
"hsa-miR-128-1-5p",20.8784694351687,1.4575245746226,0.721281577724577,2.02074282726123,0.0433063939644257,0.315427557340746,"miR-128-1-5p"
"hsa-miR-577",32.3752835948846,1.23143411556566,0.612329796665897,2.0110635188272,0.0443187479138655,0.315427557340746,"miR-577"
"hsa-miR-20b-5p",6.44420768697035,4.54170813376447,2.04626307338,2.21951331324302,0.0264518225069079,NA,"miR-20b-5p"
"hsa-miR-212-5p",4.50322628858772,4.01704398350364,1.71203396506611,2.34635764562564,0.0189579065208537,NA,"miR-212-5p"
"hsa-miR-542-3p",10.495892926938,3.74416824860103,1.49971120960903,2.49659282707976,0.0125392844755231,NA,"miR-542-3p"
